PRED|TRUE
0.0030680061|0
0.056563385|0
0.0012902152|0
0.0016620061|0
0.003001341|0
0.0020250606|0
0.014333661|0
0.0025826062|0
0.5005343|0
0.014452987|0
0.0004930917|0
0.008260602|0
0.02718784|0
0.82390064|1
0.0028490897|0
0.0015276639|0
0.0011139675|0
0.0016046155|0
0.0024751942|0
0.0032289913|0
0.003570458|0
0.00086604664|0
0.0027378025|0
0.001477905|0
0.0036017888|0
0.2573594|0
0.0015194989|0
0.0012109246|0
0.005124135|0
0.0021423216|0
0.0018664134|0
0.0025826062|0
0.0013678545|0
0.0016822394|0
0.015415952|0
0.0017730303|0
0.9405959|1
0.0022339234|0
0.0029531773|0
0.019629793|0
0.0025826062|0
0.0013965872|0
0.0019049903|0
0.4555854|1
0.073094815|0
0.0025826062|1
0.0022339234|0
0.06813827|0
0.0012902152|0
0.00084045995|0
0.008360861|0
0.0021241251|0
0.0025826062|0
0.0025826062|0
0.42060244|0
0.0035570862|0
0.002635425|0
0.0005862947|0
0.0025826062|0
0.013351234|0
0.0012375796|0
0.0025826062|0
0.007750823|0
0.017140482|0
0.0021423216|0
0.0012902152|0
0.0017389752|0
0.98948574|1
0.0053054066|0
0.0021423216|0
0.026566004|0
0.0029082405|0
0.96696246|1
0.5483301|1
0.010471536|0
0.0016801594|0
0.11757151|0
0.0030680061|0
0.0017746936|0
0.0025826062|0
0.0020435406|0
0.0025826062|0
0.0022711202|0
0.0017291895|0
0.0011392197|0
0.0020250606|0
0.0021423216|0
0.012602002|0
0.3865346|1
0.005124135|0
0.0030137459|0
0.0025826062|0
0.0022857809|0
0.009077322|0
0.011404047|0
0.0008079866|0
0.0015369371|0
0.0027925288|0
0.0007454111|0
0.0025826062|0
0.00071558426|0
0.00721794|0
0.0033841836|0
0.015769256|0
0.0025826062|0
0.008042278|0
0.109531224|0
0.0027378025|0
0.0024539523|0
0.0016081234|0
0.008860197|0
0.0025826062|0
0.0006754176|0
0.49889404|1
0.0025826062|0
0.0021423216|0
0.0021423216|0
0.0025672037|0
0.0012746911|0
0.0023001146|0
0.0014315281|0
0.0020250606|0
0.006166306|0
0.0017652005|0
0.0030680061|0
0.0025826062|0
0.0012256654|0
0.0017547389|0
0.012602002|0
0.0035905868|0
0.0027925288|0
0.0016822394|0
0.051082462|0
0.012602002|0
0.0021423216|0
0.0068330257|0
0.0025826062|0
0.2248838|0
0.0021423216|0
0.006344075|0
0.0020337754|0
0.0010512002|0
0.007905923|0
0.008644913|0
0.0025826062|0
0.0027925288|0
0.18646173|0
0.0017547389|0
0.14276998|0
0.0007674186|0
0.0025826062|0
0.0025826062|0
0.0012077838|0
0.00093429163|0
0.0052634734|0
0.0025826062|0
0.0017547389|0
0.00087475096|0
0.0025826062|0
0.0027925288|0
0.7081927|0
0.0014117815|0
0.0030680061|0
0.0012902152|0
0.0012902152|0
0.002514674|0
0.0025826062|0
0.0025826062|0
0.6767149|1
0.0025826062|0
0.0017547389|0
0.003047951|0
0.0015596264|0
0.0025826062|0
0.0013669748|0
0.0012690634|0
0.0021221996|0
0.0011461361|0
0.010373996|0
0.0020693|0
0.34666094|1
0.0033650114|0
0.12173965|0
0.0007534239|0
0.00927762|0
0.0027925288|0
0.0027925288|0
0.0011868333|0
0.00092506176|0
0.0021423216|0
0.008879959|0
0.00801193|0
0.1354892|0
0.03054758|1
0.0025826062|0
0.33810073|1
0.0018483917|0
0.0025826062|0
0.800624|1
0.002294785|0
0.0027925288|0
0.010383329|0
0.001078074|0
0.1114064|0
0.0023348494|0
0.0022035523|0
0.0051380536|0
0.8228961|1
0.0025826062|0
0.0026088457|0
0.00845845|0
0.006927066|0
0.00089262996|0
0.004120492|0
0.010666375|0
0.0014595427|0
0.0012902152|0
0.009538681|0
0.02014236|0
0.016952833|0
0.0031036187|0
0.0025826062|0
0.0026443063|0
0.0030137459|0
0.0027378025|0
0.0025826062|0
0.003620495|0
0.0007674186|0
0.0025826062|0
0.028986394|0
0.0025826062|0
0.0025826062|0
0.0016822394|0
0.0013669748|0
0.0025826062|0
0.0012651755|0
0.793982|1
0.0027925288|0
0.002106592|0
0.00472648|0
0.0025826062|0
0.0066647343|0
0.0013431618|0
0.020226346|0
0.0023348494|0
0.012602002|0
0.004962134|1
0.0023348494|0
0.0012902152|0
0.013615218|0
0.04234511|0
0.0031138982|0
0.0011522614|0
0.0021221996|0
0.0025826062|0
0.0021423216|0
0.0021423216|0
0.0021423216|0
0.0016081234|0
0.0016081234|0
0.0013893546|0
0.0027925288|0
0.0023247767|0
0.0011125761|0
0.0009566334|0
0.015364606|0
0.0025826062|0
0.0025826062|0
0.0025826062|0
0.003047951|0
0.0021072298|0
0.0011522614|0
0.00155565|0
0.0015369371|0
0.80646616|0
0.0018077382|0
0.0025826062|0
0.0025826062|0
0.0022339234|0
0.0025826062|0
0.0035798876|0
0.0030680061|0
0.0027925288|0
0.0025826062|0
0.010066272|0
0.92626095|1
0.0012902152|0
0.0025826062|0
0.0025826062|0
0.00155565|0
0.0025826062|0
0.00489906|0
0.012263083|0
0.01214938|0
0.00155565|0
0.0030680061|0
0.0063275006|0
0.012226651|0
0.0013792738|0
0.07611278|0
0.0017389752|0
0.0018982161|0
0.0040356982|0
0.00174531|0
0.0012902152|0
0.0028987771|0
0.0006775651|0
0.0027925288|0
0.0021072298|0
0.0071612736|0
0.0034096793|0
0.0010566299|0
0.0025826062|0
0.0015871291|0
0.0027022515|0
0.001709836|0
0.0014400657|0
0.0011158255|0
0.001879869|0
0.023968454|0
0.0026487857|0
0.0025826062|0
0.0011810372|0
0.17574741|0
0.002595086|0
0.2764254|0
0.9494879|1
0.0012915418|0
0.16342208|0
0.19264224|0
0.0025826062|0
0.006546301|0
0.0027925288|0
0.0010295729|0
0.003673528|0
0.030900797|0
0.0012490429|0
0.0017389752|0
0.0016081234|0
0.0027925288|0
0.0012902152|0
0.0033074676|0
0.003047951|0
0.0010179295|0
0.0027262373|0
0.0030680061|0
0.0016081234|0
0.001695708|0
0.013025565|0
0.0025826062|0
0.003047951|0
0.0012902152|0
0.0014935035|0
0.0011153033|0
0.0053172517|0
0.0026311572|0
0.01032803|0
0.07238418|0
0.0005583243|0
0.89660496|1
0.012602002|0
0.0016620061|0
0.0025826062|0
0.0025826062|0
0.70054454|0
0.0027925288|0
0.014942334|0
0.0138879325|0
0.0037477291|0
0.5271287|0
0.35647884|1
0.7676371|0
0.01577565|0
0.0025826062|0
0.0047606844|0
0.0158407|0
0.0021221996|0
0.0025826062|0
0.21337132|0
0.0110955285|0
0.0015369371|0
0.0066417325|0
0.0021241251|0
0.002900291|0
0.0023384108|0
0.0045333076|0
0.005124135|0
0.0014705593|0
0.0025826062|0
0.0025826062|0
0.0012902152|0
0.0030137459|0
0.0047141034|0
0.0013337472|0
0.0014884099|0
0.22640096|0
0.00078283506|0
0.0011810372|0
0.010077911|0
0.010471536|0
0.000666265|0
0.0007674186|0
0.013064997|0
0.0029228118|0
0.012302305|0
0.013615218|1
0.0012157932|0
0.0011011966|0
0.013935023|0
0.0025826062|0
0.0021423216|0
0.009186043|0
0.019629793|0
0.0008647256|0
0.002523572|0
0.10362917|0
0.0025826062|0
0.0021072298|0
0.0009358873|0
0.010479108|0
0.0013819706|0
0.0042904993|0
0.8148354|1
0.0007705755|0
0.0025826062|0
0.002954642|0
0.0025826062|0
0.0010789046|0
0.0012868225|0
0.0027925288|0
0.0027925288|0
0.0020545206|0
0.0015971594|0
0.010471536|0
0.0024574343|0
0.0021241251|0
0.020684035|0
0.0035060695|0
0.010471536|0
0.0025826062|0
0.0025826062|0
0.0014918311|0
0.6142704|0
0.0025826062|0
0.00155565|0
0.0011781395|0
0.0025826062|0
0.0025826062|0
0.0063275006|0
0.0018016017|0
0.0027925288|0
0.0025826062|0
0.0055394946|0
0.002345192|0
0.7904847|1
0.0022339234|0
0.0020008713|0
0.20639998|0
0.70946693|1
0.0013286512|0
0.010066272|0
0.7374769|0
0.001695708|0
0.0025826062|0
0.0012902152|0
0.0014920059|0
0.0005254323|0
0.06732047|0
0.43499866|1
0.0021241251|0
0.0009849356|0
0.0020250606|0
0.57820547|1
0.008616905|0
0.0014050946|0
0.013402379|0
0.39885682|0
0.0015369371|0
0.013823346|0
0.09170935|0
0.38329154|1
0.0010208524|0
0.0030680061|0
0.0032573135|0
0.0027925288|0
0.0026266114|0
0.03683225|0
0.0012792471|0
0.0025826062|0
0.86863357|1
0.0007024485|0
0.0073879557|0
0.075662255|0
0.0025826062|0
0.0009476931|0
0.0025826062|0
0.0027378025|0
0.0025826062|0
0.010589306|0
0.0026051286|0
0.9320558|1
0.0027378025|0
0.0007994758|0
0.0012902152|0
0.0011810372|0
0.0063275006|0
0.0017329941|0
0.0027925288|0
0.0022557129|0
0.04437102|0
0.00907417|0
0.002503507|0
0.0013593717|0
0.007387515|0
0.009107142|0
0.0012902152|0
0.006539878|0
0.009474161|0
0.0025826062|0
0.0012638548|0
0.0021246336|0
0.006539878|0
0.00269612|0
0.25357908|0
0.0025826062|0
0.0071315407|0
0.0011522614|0
0.011404047|0
0.11605404|0
0.10111226|0
0.0016466759|0
0.0016470773|0
0.0010824049|0
0.0025826062|0
0.0015626596|0
0.0025826062|0
0.0025826062|0
0.0012780866|0
0.0033074676|0
0.031414807|0
0.71598715|0
0.0008470651|0
0.0061979163|0
0.0043952316|0
0.009980536|0
0.0030680061|0
0.012226651|0
0.0021423216|0
0.0016822394|0
0.79242367|1
0.87472034|1
0.00080766523|0
0.00075199077|0
0.77764183|1
0.0007454111|0
0.0025826062|0
0.007010716|0
0.008860205|0
0.0025826062|0
0.0021423216|0
0.988208|1
0.0024605994|0
0.001626429|0
0.0019185261|0
0.0021423216|0
0.0018982161|0
0.0025826062|0
0.15075676|0
0.0030045274|0
0.0011080196|0
0.013380883|0
0.0016575584|0
0.63449496|1
0.0012996229|0
0.0011776631|0
0.02251193|0
0.70946693|1
0.0025826062|0
0.012695168|0
0.0010501418|0
0.0025826062|0
0.010479108|0
0.0025826062|0
0.046013843|0
0.0010749327|0
0.0022107067|0
0.002294785|0
0.0025826062|0
0.11234381|0
0.015726322|0
0.00092539855|0
0.017285185|0
0.95207554|1
0.0009566334|0
0.0053736945|0
0.002339212|0
0.0025826062|0
0.0015031463|0
0.0025826062|0
0.0025826062|0
0.0022230071|0
0.09991772|0
0.70946693|1
0.052000437|0
0.0076150205|0
0.0021072298|0
0.0042125587|0
0.0012571843|0
0.004751239|0
0.0020250606|0
0.0013503869|0
0.12793656|0
0.0009671988|0
0.0028703779|0
0.140763|0
0.0021221996|0
0.0010566299|0
0.0027925288|0
0.0012902152|0
0.11986884|0
0.00092539855|0
0.0025826062|0
0.0012388923|0
0.0022694233|0
0.0030210242|0
0.0021423216|0
0.015549617|0
0.0021423216|0
0.58988124|0
0.0028703779|0
0.0017730303|0
0.0008813244|0
0.906223|1
0.50000906|1
0.0016081234|0
0.0021221996|0
0.0152005|0
0.0019367205|0
0.009992736|0
0.012602002|0
