PRED|TRUE
4.708738818362607e-12|0
6.761195118588983e-09|0
4.945780547831088e-19|0
3.8620181299149583e-13|0
4.7063223831134526e-14|0
2.6572013974449383e-15|0
5.578467308957292e-12|0
1.721436073519075e-14|0
0.03140471334631064|0
7.278429812369035e-13|0
5.279678541945655e-27|0
6.319662556129649e-16|0
8.703857995797661e-13|0
0.938041874536259|1
3.77771965249172e-14|0
1.1070128024182633e-16|0
1.617865231009059e-14|0
1.1952871987912918e-16|0
2.3416017656166905e-15|0
1.545087369530636e-11|0
5.457706535093879e-09|0
3.835197785691671e-23|0
2.510942384311594e-13|0
5.187034395614764e-19|0
1.0646099200607463e-22|0
2.904421683942315e-10|0
4.2355574820872075e-18|0
2.2825284522780897e-19|0
2.9266114732278393e-12|0
4.84496257358349e-20|0
1.7673567760328702e-16|0
8.435456383854188e-17|0
3.0944735654588064e-19|0
7.942445488976168e-19|0
1.4145214262909841e-12|0
1.242006569212535e-15|0
0.999982813128819|1
6.072309249287829e-15|0
1.5979753087417163e-14|0
2.0904987165832698e-11|0
3.715276741333986e-16|0
7.38529667942259e-18|0
5.446080851019807e-10|0
0.33745325541328214|1
5.19464267370767e-10|0
2.4432312761428692e-20|1
1.939498484861807e-12|0
1.0744712685969376e-08|0
5.6188526162535716e-21|0
2.790756684278669e-17|0
3.6404544771638214e-14|0
3.3485335887145603e-16|0
2.4432312761428692e-20|0
2.0501358916969494e-13|0
0.2144468209316912|0
1.308720854746738e-13|0
5.796274637152444e-14|0
2.352297504427057e-23|0
2.531375105558372e-13|0
1.2349292515738006e-13|0
3.7657528811891014e-23|0
1.7063607371410165e-11|0
2.3319618554610847e-18|0
6.255399477280393e-12|0
1.4944159023381034e-16|0
1.3565196412184095e-17|0
6.631166249675472e-17|0
0.9999892089952513|1
2.1880825610063405e-18|0
4.347106866911126e-17|0
3.173530796808692e-13|0
9.158852020453911e-18|0
0.9999886670274258|1
5.1488271666790645e-09|1
9.18273743625134e-15|0
2.6674150775979968e-18|0
7.707167853622675e-06|0
1.2969462956965139e-06|0
2.564791747492127e-20|0
2.5559437182414646e-15|0
5.949482015309868e-16|0
2.073450893522775e-17|0
8.946767983294381e-15|0
6.017405027674108e-14|0
9.952578959310431e-20|0
1.360101165016791e-15|0
1.2576124011410017e-17|0
4.802859260269464e-11|0
0.00010518717750415336|1
1.6709272058392518e-10|0
6.778973187128152e-08|0
1.8476396193713e-18|0
2.206231249391014e-17|0
6.20350757071549e-15|0
6.765967474469048e-13|0
1.0728731541919541e-17|0
1.84537454754928e-17|0
2.570713447642703e-14|0
1.446210267188072e-18|0
1.882018876944208e-18|0
4.9291740985730474e-20|0
9.080416801836726e-16|0
2.8360857983933878e-11|0
0.00010813209776111072|0
8.358939397237277e-15|0
3.674003229893665e-19|0
0.01715360697309241|0
1.5417454966168008e-12|0
4.3202325441774024e-08|0
1.952817080339307e-15|0
1.133449010707268e-07|0
4.1816865591273606e-07|0
1.3263165194146767e-17|0
5.92114649887893e-06|1
2.3092170557998208e-15|0
4.192719009583657e-15|0
5.938848098756935e-16|0
1.099820673711202e-19|0
3.387005540832009e-19|0
9.216996492380115e-15|0
3.8790043669955195e-13|0
1.1217622791914431e-15|0
8.983400297166869e-19|0
1.725268472260018e-15|0
2.1702507690564078e-13|0
9.047214798391604e-17|0
3.4873337969893025e-22|0
1.0148627694483968e-16|0
3.544279615405923e-15|0
2.3196572828527127e-15|0
6.108818550471806e-15|0
1.4527880917130462e-21|0
1.65341689171386e-12|0
1.0873105674001384e-13|0
3.9892633509061344e-17|0
2.1095017063930806e-14|0
2.6272227360923066e-14|0
0.0002599651432793475|0
2.7323540633516305e-17|0
1.2238935703832583e-16|0
9.187608082450286e-22|0
