PRED|TRUE
0.9956957127323507|1
0.9583142022428052|1
0.9796117742310891|1
0.9999997605176371|1
0.9867254864640415|1
0.190411816381886|0
0.04521923639632291|0
0.009636195536685894|0
0.025209447444342253|0
0.010222212969011685|0
0.9684215694736138|1
0.9965869347731362|1
0.020107392168207845|0
0.6843077078073828|1
0.9999957748585282|1
0.9843089443843555|1
0.7771804847747348|1
0.9793495523682079|1
0.5454779731173801|0
0.1617058393295948|0
0.9522472498596404|1
0.9999958230577332|1
0.06777211921171604|0
0.9933375074988657|1
0.2423878142809314|0
0.014021325647380184|0
0.9961197535495299|1
0.9670508640305532|1
0.9876662514238124|1
0.9855891218560338|1
0.02471869744898178|0
0.11865132619399323|0
0.040010880295666795|0
0.024633473344498454|0
0.0344710887716302|1
0.9662261265390927|1
0.04978027048271803|0
0.9964666984250641|1
0.048338450387916024|0
0.020832274264157416|0
0.09213327008897455|0
0.04674444913601969|0
0.03329102958101643|0
0.011745870264926787|0
0.9945833113017871|1
0.051979559274349156|0
0.07147775230128407|0
0.9969814408470392|1
0.02100926785402617|0
0.999999406623926|1
0.9999997416411728|1
0.1352064102044874|0
0.35844215135370605|0
0.08218129537548256|0
0.0667150758802434|0
0.015781518834269544|0
0.9828583761395603|1
0.9796751961488102|1
0.12271232083164832|0
0.03388091897251058|0
0.9663491137938858|1
0.9999921790689184|1
0.01261273160629551|0
0.027972014826394546|0
0.9999986351215372|1
0.9550233262148375|1
0.009190010986065556|1
0.9941929141138454|1
0.03372500149765583|0
0.12058813335153791|0
0.042139367232557914|0
0.04604408710960206|0
0.9891163082191838|1
0.07848745294489386|0
0.9914223774728566|1
0.9929786414181732|1
0.9999825972036133|1
0.9999969521761874|1
0.03621216809274398|0
0.9999999837550312|1
0.9965963226964272|1
0.7875550091184598|1
0.9700863224503031|0
0.05801214467522111|0
0.9342936110531985|1
0.027344340325055633|0
0.9416843346169234|1
0.05012546488363647|0
0.9684321153954928|0
0.9964321963588453|1
0.9696037158470877|1
0.2521058459470771|0
0.993897973673992|1
0.9755052780759214|1
0.029827873579931694|0
0.9898310536044155|1
0.9903623979894589|1
0.016672543066370466|0
0.9958943235507579|1
0.020524789220743495|0
0.1549368426912778|0
0.9927800730096663|1
0.9957037323452091|1
0.9759852877663892|1
0.03998437739352576|0
0.9584883481158282|1
0.9910468843029204|0
0.9847594644279043|1
0.04874535443054132|0
0.997175296588552|1
0.9915091212956462|1
0.03852788126153336|0
0.9838867300698794|1
0.9835750883431033|1
0.013934179809895749|0
0.013141259620094502|0
0.9874173047588656|0
0.9713970830937235|0
0.8708542029306627|1
0.9912264277562851|0
0.06856152749613913|0
0.9999859203814949|1
0.9931530567923804|1
0.045172918627745945|1
0.9999986125331326|1
0.052988265894762306|0
0.9238706245527251|1
0.14129824012736852|1
0.09761428092294584|0
0.9893933280071241|1
0.9965793290458106|1
0.9999905053964716|1
0.05016252629139965|0
0.22885617415972206|0
0.9969582218235009|1
0.18038371552489002|0
0.013473091628838835|0
0.013640679568347521|0
0.055645966098078106|0
0.03758875415468912|0
0.9966025996494238|1
0.028006807588855175|0
0.005082042322564247|0
0.04109961339414575|0
0.9516595279956916|1
0.9687591835939505|1
0.27968730470227016|0
0.022036100087070475|0
0.9957517576609428|1
0.14393306157149852|0
0.03974207131765756|0
0.9349118041817409|0
0.1623157827932132|0
0.031398925543592186|0
0.033635475996485115|0
0.9962991573417875|1
0.999993618024369|1
0.9999971397575931|1
0.9999966715310158|1
0.9506245282919742|1
0.9861559496064904|1
0.028947576255922796|0
0.025613781615791767|0
0.9765466822146347|1
0.9999949857782897|1
0.7102551571512783|1
0.067203123186445|0
0.9455683042070928|1
0.9878679015297621|1
0.0972184174766291|0
0.9882158991368035|1
0.99729242833389|1
0.08608059222940291|0
0.9933971067128077|0
0.9999972911909334|1
0.9888555875857884|1
0.8097836180651136|1
0.1809977319542055|0
0.9855243312008507|1
0.2330313806194758|1
0.010405670096908128|0
0.9957862548813409|1
0.1032781494901745|0
0.9941754843365328|1
0.018017208445361414|1
0.9697671151893434|1
0.04376776981829989|0
0.9870012793961899|1
0.02492004597328967|0
0.11556473224628758|0
0.9928184443326947|1
0.028767342299190785|0
0.08176131904381148|0
0.034160037431728435|0
0.02610690603489708|0
0.9951435138993773|1
0.046312896204620965|0
0.9999956046378156|1
0.04580249275145499|0
0.0062861047556438746|0
0.9999986832602176|1
0.8950547165596614|1
0.9883180593930462|1
0.07388552696044771|0
0.03168309290629157|0
0.07401420482871401|0
0.9805363058466781|1
0.01514906272266885|0
0.9861127091527115|1
0.05173495416214655|0
0.13295256586210882|0
0.9701319302270776|1
0.1293309638692398|1
0.9999989602350016|1
0.02889580276351906|0
0.9736214066046528|1
0.06073452460926585|0
0.032645721900632495|0
0.9970058729990451|1
0.9782344755214523|1
0.9999996207034801|1
0.9913187388501931|1
0.026759814817203693|0
0.9876086877795737|1
0.89078052387328|1
0.10489271027688436|0
0.9777292278155383|1
0.9999835544316823|1
0.9999942104450569|1
0.01238882322199786|0
0.9913579237105098|1
0.22346157343288192|0
0.019557548025825017|0
0.9525063847934775|1
0.9414463084782652|1
0.9999996770576189|1
0.9909917285734564|1
0.9928583747416282|1
0.9346963507322609|1
0.02152301686027672|0
0.9999983224063569|1
0.006239171376498513|0
0.9911384793672922|1
0.9599291858335136|1
0.995172811555712|1
0.992284506476941|1
0.05019807778264272|0
0.09050353406850287|0
0.033940123069131106|0
0.9956890255306626|1
0.9999831103092253|1
0.02075136693902236|0
0.026155924959711644|0
0.9999994232477218|1
0.9965821220532044|1
0.025437773443676658|0
0.9999867092491131|1
0.07005094520065035|0
0.10817063238294945|0
0.9965515491169273|1
0.9408387927538608|1
0.9713154810150249|1
0.05418295705299885|0
0.023049697048846154|0
0.9968073419043986|0
0.35694092781070513|0
0.935120311616109|1
0.9764498255613066|1
0.06030623767017547|0
0.008888499520107276|0
0.9999998422257411|1
0.9999955455859313|1
0.9891415986838619|1
0.9874583135400947|1
0.9999932805518937|1
0.007766519665391462|0
0.04231457472198797|0
0.9999956727948314|1
0.07082889292793804|0
0.9999980082309988|1
0.15468078862538684|1
0.947923135404108|1
0.9250920276959904|1
0.975370177117618|1
0.02904144370008024|0
0.03964675063808954|0
0.9925791899400355|1
0.06719928905538815|0
0.052138602368985015|0
0.05877343766950228|0
0.15909837662595172|0
0.04633655629415934|0
0.08150907768282997|0
0.9969577607251482|1
0.9923312590127323|0
0.9878519721087561|0
0.6778697641706143|0
0.9252931711505777|1
0.9999973418025442|1
0.045565201707425756|0
0.9922722196633964|1
0.9910482451946757|1
0.027748431548053364|0
0.3456101684120109|0
0.09545020962358636|0
0.08950429804684755|0
0.0508284364321565|0
0.9959963616898599|1
0.016100911036379013|0
0.9949291205776024|1
0.9622995509210399|1
0.969172679012209|1
0.08808307042696446|0
0.9683320892296678|1
0.034895426576027934|0
0.15691156317678692|0
0.9961027104098513|1
0.9747433461080925|1
0.02556664754187696|0
0.9226445267000682|1
0.985084717162194|1
0.9999887759679478|1
0.9749378483357511|1
0.9999976678797865|1
0.9904807408125257|1
0.9780607517193561|1
0.15362990415223615|0
0.9999995524910072|1
0.10235588007701042|0
0.9449811842196466|0
0.9876255911443365|1
0.0533123894502495|0
0.009544551564234918|0
0.15402033879720448|0
